Scenario,Variant,CBR(Mbps),Throughput(Mbps),AvgRTT(ms),DropRate
Scenario1,TcpVegas, 1, 9.32861, 67.9135, 0.00194005
Scenario1,TcpVegas, 2, 1.97493, 31.8218, 0.000388689
Scenario1,TcpVegas, 3, 1.97071, 31.9257, 0.000584169
Scenario1,TcpVegas, 4, 1.97493, 31.8857, 0.000388689
Scenario1,TcpVegas, 5, 1.96571, 32.0839, 0.00087822
Scenario1,TcpVegas, 6, 1.96994, 32.0159, 0.000389674
Scenario1,TcpVegas, 7, 1.97224, 32.0346, 0.000486476
Scenario1,TcpVegas, 8, 1.69538, 32.3681, 0.000565867
Scenario1,TcpVegas, 9, 0.807762, 34.6768, 0.00071242
Scenario1,TcpVegas, 10, 0.727506, 48.7727, 0.0010543
Scenario1,TcpWestwoodPlus, 1, 1.9757, 31.7245, 0.00126165
Scenario1,TcpWestwoodPlus, 2, 8.2319, 52.8536, 0.000815461
Scenario1,TcpWestwoodPlus, 3, 7.78331, 49.9923, 0.0014406
Scenario1,TcpWestwoodPlus, 4, 7.20713, 48.1012, 0.00118372
Scenario1,TcpWestwoodPlus, 5, 6.573, 49.0566, 0.00129774
Scenario1,TcpWestwoodPlus, 6, 6.1443, 53.5842, 0.00117001
Scenario1,TcpWestwoodPlus, 7, 5.80314, 56.5162, 0.00128817
Scenario1,TcpWestwoodPlus, 8, 5.42879, 59.7586, 0.00137685
Scenario1,TcpWestwoodPlus, 9, 5.02242, 63.7203, 0.00146902
Scenario1,TcpWestwoodPlus, 10, 4.7885, 68.4403, 0.0013408
Scenario1,TcpBbr, 1, 8.65277, 52.2139, 0.00156153
Scenario1,TcpBbr, 2, 7.96017, 92.9214, 0.00408192
Scenario1,TcpBbr, 3, 7.35239, 71.5751, 0.00286961
Scenario1,TcpBbr, 4, 7.02841, 75.3668, 0.00427989
Scenario1,TcpBbr, 5, 6.8992, 82.5731, 0.0056027
Scenario1,TcpBbr, 6, 6.62988, 83.531, 0.00606026
Scenario1,TcpBbr, 7, 6.22596, 84.0589, 0.00510717
Scenario1,TcpBbr, 8, 5.95252, 87.9862, 0.00769622
Scenario1,TcpBbr, 9, 5.67096, 98.6109, 0.00924712
Scenario1,TcpBbr, 10, 5.10904, 92.9294, 0.0102429
Scenario1,TcpCubic, 1, 8.64159, 88.5994, 0.00321619
Scenario1,TcpCubic, 2, 8.84763, 64.6071, 0.00170015
Scenario1,TcpCubic, 3, 8.15798, 48.7536, 0.00125718
Scenario1,TcpCubic, 4, 7.46506, 51.943, 0.00173239
Scenario1,TcpCubic, 5, 6.56487, 50.288, 0.000920084
Scenario1,TcpCubic, 6, 6.12146, 54.9844, 0.00134638
Scenario1,TcpCubic, 7, 5.77901, 58.5127, 0.000912439
Scenario1,TcpCubic, 8, 5.4592, 61.5362, 0.00136912
Scenario1,TcpCubic, 9, 5.08708, 65.3557, 0.0014127
Scenario1,TcpCubic, 10, 4.86415, 69.5409, 0.00128059
Scenario1,TcpVeno, 1, 9.32861, 67.9135, 0.00194005
Scenario1,TcpVeno, 2, 8.71531, 52.5987, 0.00114399
Scenario1,TcpVeno, 3, 7.71644, 48.7631, 0.00134146
Scenario1,TcpVeno, 4, 6.75435, 47.1112, 0.00146135
Scenario1,TcpVeno, 5, 5.9401, 46.7291, 0.000726474
Scenario1,TcpVeno, 6, 5.30632, 48.9527, 0.00097561
Scenario1,TcpVeno, 7, 5.06706, 54.2532, 0.00107832
Scenario1,TcpVeno, 8, 5.06168, 59.2918, 0.00117404
Scenario1,TcpVeno, 9, 4.54626, 63.8293, 0.00145425
Scenario1,TcpVeno, 10, 4.90299, 69.0915, 0.00140718
Scenario2,TcpVegas, 1, 4.0366, 61.8743, 0.000541151
Scenario2,TcpVegas, 2, 1.25631, 42.4205, 0.000680272
Scenario2,TcpVegas, 3, 1.25631, 42.4572, 0.000453618
Scenario2,TcpVegas, 4, 1.25422, 42.5691, 7.57576e-05
Scenario2,TcpVegas, 5, 1.25783, 42.509, 0.00045307
Scenario2,TcpVegas, 6, 1.25621, 42.5575, 0.000453652
Scenario2,TcpVegas, 7, 1.2527, 42.6777, 0.000379133
Scenario2,TcpVegas, 8, 0.803395, 42.826, 0.000354694
Scenario2,TcpVegas, 9, 0.44323, 48.797, 0.000214316
Scenario2,TcpVegas, 10, 0.422418, 53.1042, 0.000224871
Scenario2,TcpWestwoodPlus, 1, 1.2584, 42.22, 0.000377415
Scenario2,TcpWestwoodPlus, 2, 4.3816, 68.9673, 0.00084508
Scenario2,TcpWestwoodPlus, 3, 3.89118, 63.2197, 0.000988058
Scenario2,TcpWestwoodPlus, 4, 3.73922, 66.4014, 0.00126904
Scenario2,TcpWestwoodPlus, 5, 3.74048, 70.146, 0.00101515
Scenario2,TcpWestwoodPlus, 6, 3.34583, 73.8213, 0.00100719
Scenario2,TcpWestwoodPlus, 7, 3.50685, 77.2439, 0.000866352
Scenario2,TcpWestwoodPlus, 8, 3.28923, 79.0222, 0.000894777
Scenario2,TcpWestwoodPlus, 9, 3.24965, 81.7707, 0.00115371
Scenario2,TcpWestwoodPlus, 10, 3.08854, 83.5647, 0.00119845
Scenario2,TcpBbr, 1, 4.4141, 69.9731, 0.00101075
Scenario2,TcpBbr, 2, 4.61831, 105.097, 0.0107778
Scenario2,TcpBbr, 3, 3.91634, 103.459, 0.0106939
Scenario2,TcpBbr, 4, 3.47035, 106.555, 0.01368
Scenario2,TcpBbr, 5, 3.48292, 109.49, 0.0124757
Scenario2,TcpBbr, 6, 3.15817, 111.382, 0.0121787
Scenario2,TcpBbr, 7, 3.10255, 112.523, 0.0145491
Scenario2,TcpBbr, 8, 3.06018, 115.471, 0.0143517
Scenario2,TcpBbr, 9, 2.60355, 118.19, 0.0172543
Scenario2,TcpBbr, 10, 2.91057, 113.439, 0.0145411
Scenario2,TcpCubic, 1, 4.41812, 98.2152, 0.0101985
Scenario2,TcpCubic, 2, 4.45304, 69.411, 0.00139567
Scenario2,TcpCubic, 3, 4.07669, 63.5705, 0.0016057
Scenario2,TcpCubic, 4, 3.74805, 68.4233, 0.00127855
Scenario2,TcpCubic, 5, 3.43375, 72.6747, 0.00186423
Scenario2,TcpCubic, 6, 3.30319, 72.8601, 0.00155101
Scenario2,TcpCubic, 7, 3.06964, 78.375, 0.00160697
Scenario2,TcpCubic, 8, 3.05244, 79.2742, 0.00158503
Scenario2,TcpCubic, 9, 3.13005, 83.3952, 0.00180295
Scenario2,TcpCubic, 10, 3.10382, 86.0674, 0.00137571
Scenario2,TcpVeno, 1, 4.63942, 72.6552, 0.001452
Scenario2,TcpVeno, 2, 4.15945, 63.0495, 0.000969999
Scenario2,TcpVeno, 3, 3.72661, 57.1869, 0.00110798
Scenario2,TcpVeno, 4, 3.56306, 60.6677, 0.000812759
Scenario2,TcpVeno, 5, 3.21499, 65.9927, 0.000812144
Scenario2,TcpVeno, 6, 3.02267, 69.6187, 0.00108341
Scenario2,TcpVeno, 7, 3.19311, 74.7867, 0.00123349
Scenario2,TcpVeno, 8, 2.68553, 78.1573, 0.00109568
Scenario2,TcpVeno, 9, 2.83787, 80.4404, 0.000819686
Scenario2,TcpVeno, 10, 2.86314, 82.2652, 0.000928413
Scenario3,TcpVegas, 1, 8.40598, 55.3418, 0.00107082
Scenario3,TcpVegas, 2, 3.95536, 16.3466, 0.000128932
Scenario3,TcpVegas, 3, 1.41781, 23.4268, 0.000239751
Scenario3,TcpVegas, 4, 1.06536, 30.6142, 0
Scenario3,TcpVegas, 5, 0.953312, 35.8932, 0.000356506
Scenario3,TcpVegas, 6, 0.831578, 42.6365, 0
Scenario3,TcpVegas, 7, 0.692161, 53.2485, 0.000736196
Scenario3,TcpVegas, 8, 0.594654, 64.4338, 0.000856776
Scenario3,TcpVegas, 9, 0.520101, 73.8739, 0.000653168
Scenario3,TcpVegas, 10, 0.465864, 83.213, 0.000911245
Scenario3,TcpWestwoodPlus, 1, 5.58458, 15.6505, 0.000182629
Scenario3,TcpWestwoodPlus, 2, 6.68189, 40.5796, 0.00124522
Scenario3,TcpWestwoodPlus, 3, 4.91538, 37.6955, 0.00282822
Scenario3,TcpWestwoodPlus, 4, 4.35287, 41.9174, 0.00262948
Scenario3,TcpWestwoodPlus, 5, 3.77216, 49.3049, 0.00233818
Scenario3,TcpWestwoodPlus, 6, 3.12864, 58.163, 0.00195244
Scenario3,TcpWestwoodPlus, 7, 2.70809, 66.7996, 0.00197362
Scenario3,TcpWestwoodPlus, 8, 2.11863, 81.0077, 0.00184221
Scenario3,TcpWestwoodPlus, 9, 1.94725, 85.3811, 0.00165606
Scenario3,TcpWestwoodPlus, 10, 1.98278, 84.319, 0.00222431
Scenario3,TcpBbr, 1, 8.42715, 56.7331, 0.000947323
Scenario3,TcpBbr, 2, 5.8924, 56.3924, 0.0263786
Scenario3,TcpBbr, 3, 4.26539, 66.1332, 0.0560071
Scenario3,TcpBbr, 4, 3.95944, 74.3706, 0.0610789
Scenario3,TcpBbr, 5, 3.55641, 80.0885, 0.0662009
Scenario3,TcpBbr, 6, 2.75034, 94.2069, 0.0604037
Scenario3,TcpBbr, 7, 2.21852, 87.0792, 0.0206754
Scenario3,TcpBbr, 8, 1.8727, 87.2063, 0.00667298
Scenario3,TcpBbr, 9, 1.71636, 92.1557, 0.0115528
Scenario3,TcpBbr, 10, 2.03915, 106.488, 0.052043
Scenario3,TcpCubic, 1, 8.20654, 49.3044, 0.000496966
Scenario3,TcpCubic, 2, 6.89628, 48.5408, 0.00217707
Scenario3,TcpCubic, 3, 4.88477, 39.5949, 0.00495247
Scenario3,TcpCubic, 4, 4.406, 44.5138, 0.00449438
Scenario3,TcpCubic, 5, 3.90911, 52.5135, 0.00480436
Scenario3,TcpCubic, 6, 3.49052, 61.7304, 0.00614774
Scenario3,TcpCubic, 7, 2.89902, 71.9584, 0.00536631
Scenario3,TcpCubic, 8, 2.44413, 86.5842, 0.00762753
Scenario3,TcpCubic, 9, 2.29724, 91.922, 0.00581246
Scenario3,TcpCubic, 10, 2.3468, 89.4387, 0.00633458
Scenario3,TcpVeno, 1, 8.44449, 65.9205, 0.00105589
Scenario3,TcpVeno, 2, 6.34091, 40.6272, 0.00131209
Scenario3,TcpVeno, 3, 4.42206, 39.9709, 0.00310452
Scenario3,TcpVeno, 4, 4.12886, 41.8385, 0.00340604
Scenario3,TcpVeno, 5, 3.34252, 46.8626, 0.00354781
Scenario3,TcpVeno, 6, 3.08987, 57.783, 0.00337245
Scenario3,TcpVeno, 7, 2.61254, 70.4414, 0.00353403
Scenario3,TcpVeno, 8, 2.21894, 85.0223, 0.00374017
Scenario3,TcpVeno, 9, 2.22812, 87.923, 0.00380055
Scenario3,TcpVeno, 10, 2.13155, 89.3383, 0.00381376
Scenario4,TcpVegas, 1, 8.45996, 63.7715, 0.00106399
Scenario4,TcpVegas, 2, 3.47692, 15.7191, 0.000146671
Scenario4,TcpVegas, 3, 1.69443, 17.1249, 0.000100321
Scenario4,TcpVegas, 4, 1.50095, 20.0719, 0.000283078
Scenario4,TcpVegas, 5, 1.01486, 34.5703, 0.000334896
