Scenario,Variant,CBR(Mbps),Throughput(Mbps),AvgRTT(ms),DropRate
Scenario1,TcpVegas,1,1.98604,22.4805,0
Scenario1,TcpVegas,2,1.97465,22.7225,0
Scenario1,TcpVegas,3,1.92846,22.7944,0
Scenario1,TcpVegas,4,1.24027,23.8499,0
Scenario1,TcpVegas,5,1.01485,24.4299,0
Scenario1,TcpVegas,6,1.75074,23.8816,0
Scenario1,TcpVegas,7,4.05904,24.3346,0
Scenario1,TcpVegas,8,2.28441,23.5146,0
Scenario1,TcpVegas,9,3.63258,23.1487,0
Scenario1,TcpVegas,10,3.0737,23.3575,0
Scenario1,TcpWestwoodPlus,1,4.68486,30.1205,0.000491341
Scenario1,TcpWestwoodPlus,2,4.49562,30.1717,0.000532926
Scenario1,TcpWestwoodPlus,3,4.34594,30.6341,0.000572762
Scenario1,TcpWestwoodPlus,4,4.32868,30.7679,0.000564199
Scenario1,TcpWestwoodPlus,5,4.3236,30.7862,0.000510603
Scenario1,TcpWestwoodPlus,6,4.28545,30.811,0.000569982
Scenario1,TcpWestwoodPlus,7,4.32242,30.7968,0.000586727
Scenario1,TcpWestwoodPlus,8,4.26602,30.8766,0.000539487
Scenario1,TcpWestwoodPlus,9,4.22204,30.9926,0.000567404
Scenario1,TcpWestwoodPlus,10,4.16888,31.0653,0.000608389
Scenario1,TcpBbr,1,4.60584,35.3481,0.00316507
Scenario1,TcpBbr,2,4.19492,34.9848,0.00668915
Scenario1,TcpBbr,3,4.34592,34.8044,0.00526716
Scenario1,TcpBbr,4,4.33918,34.7642,0.00449918
Scenario1,TcpBbr,5,4.22749,34.9016,0.00540315
Scenario1,TcpBbr,6,4.23788,34.8884,0.00535646
Scenario1,TcpBbr,7,4.19642,34.6442,0.00538659
Scenario1,TcpBbr,8,4.22933,34.9052,0.00527977
Scenario1,TcpBbr,9,4.19473,34.9115,0.00533378
Scenario1,TcpBbr,10,4.11829,34.9185,0.00526423
Scenario1,TcpCubic,1,4.43876,28.8275,0.00106792
Scenario1,TcpCubic,2,4.20129,28.9074,0.00119461
Scenario1,TcpCubic,3,4.09548,29.3517,0.00118003
Scenario1,TcpCubic,4,4.09385,29.2848,0.00103153
Scenario1,TcpCubic,5,4.09586,29.3362,0.00106529
Scenario1,TcpCubic,6,4.05686,29.3071,0.00105262
Scenario1,TcpCubic,7,4.06843,29.2095,0.00104956
Scenario1,TcpCubic,8,4.04964,29.476,0.00107761
Scenario1,TcpCubic,9,3.99909,29.4875,0.00106767
Scenario1,TcpCubic,10,3.98406,29.7804,0.00110724
Scenario1,TcpVeno,1,4.33098,27.7561,0.000390595
Scenario1,TcpVeno,2,4.17387,27.7399,0.000416498
Scenario1,TcpVeno,3,4.03764,28.3675,0.0004422
Scenario1,TcpVeno,4,4.028,28.5358,0.000419913
Scenario1,TcpVeno,5,3.99319,28.6079,0.000435427
Scenario1,TcpVeno,6,3.9834,28.6582,0.000436346
Scenario1,TcpVeno,7,3.9937,28.6042,0.000435325
Scenario1,TcpVeno,8,3.97103,28.7037,0.000425889
Scenario1,TcpVeno,9,3.91289,28.8178,0.000444316
Scenario1,TcpVeno,10,3.85992,28.8831,0.000450352
